1367,1370,1372,1373,1375,1376,1381,1382,1385,1388,1389,1390,1391,1392,1393,1394,1395,1396,1397,1398,1399,1400,1401,1402
0001,0001,0001,0001,0001,0001,0001,0001,0001,0001,0001,0001,0001,0001,0001,0001,0001,0001,0001,0001,0001,0001,0001,0001
0002,0002,0002,0002,0002,0002,0002,0002,0002,0002,0002,0002,0002,0002,0002,0002,0002,0002,0002,0002,0002,0002,0002,0002
0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003
0004,0004,0004,0004,0004,0004,0004,0004,0004,0004,0004,0004,0004,0004,0004,0004,0004,0004,0004,0004,0004,0004,0004,0004
0005,0005,0005,0005,0005,0005,0005,0005,0005,0005,0005,0005,0005,0005,0005,0005,0005,0005,0005,0005,0005,0005,0005,0005
0006,0006,0006,0006,0006,0006,0006,0006,0006,0006,0006,0006,0006,0006,0006,0006,0006,0006,0006,0006,0006,0006,0006,0006
0007,0007,0007,0007,0007,0007,0007,0007,0007,0007,0007,0007,0007,0007,0007,0007,0007,0007,0007,0007,0007,0007,0007,0007
0009,0009,0009,0009,0009,0009,0009,0009,0009,0009,0009,0009,0009,0009,0009,0009,0009,0009,0009,0009,0009,0009,0009,0009
0006,0006,0006,0006,0006,0006,0006,0010,0010,0010,0010,0010,0010,0010,0010,0010,0010,0010,0010,0010,0010,0010,0010,0010
0001,0001,0001,0001,0001,0001,0001,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011
0001,0001,0001,0001,0001,0001,0001,0001,0001,0012,0012,0012,0012,0012,0012,0012,0012,0012,0012,0012,0012,0012,0012,0012
0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0013,0013,0013,0013,0013,0013,0013,0013,0013,0013,0013,0013,0013,0013
0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101
0102,0102,0102,0102,0102,0102,0102,0102,0102,0102,0102,0102,0102,0102,0102,0102,0102,0102,0102,0102,0102,0102,0102,0102
0103,0103,0103,0103,0103,0103,0103,0103,0103,0103,0103,0103,0103,0103,0103,0103,0103,0103,0103,0103,0103,0103,0103,0103
0104,0104,0104,0104,0104,0104,0104,0104,0104,0104,0104,0104,0104,0104,0104,0104,0104,0104,0104,0104,0104,0104,0104,0104
0105,0105,0105,0105,0105,0105,0105,0105,0105,0105,0105,0105,0105,0105,0105,0105,0105,0105,0105,0105,0105,0105,0105,0105
0106,0106,0106,0106,0106,0106,0106,0106,0106,0106,0106,0106,0106,0106,0106,0106,0106,0106,0106,0106,0106,0106,0106,0106
0107,0107,0107,0107,0107,0107,0107,0107,0107,0107,0107,0107,0107,0107,0107,0107,0107,0107,0107,0107,0107,0107,0107,0107
0108,0108,0108,0108,0108,0108,0108,0108,0108,0108,0108,0108,0108,0108,0108,0108,0108,0108,0108,0108,0108,0108,0108,0108
0109,0109,0109,0109,0109,0109,0109,0109,0109,0109,0109,0109,0109,0109,0109,0109,0109,0109,0109,0109,0109,0109,0109,0109
0110,0110,0110,0110,0110,0110,0110,0110,0110,0110,0110,0110,0110,0110,0110,0110,0110,0110,0110,0110,0110,0110,0110,0110
0111,0111,0111,0111,0111,0111,0111,0111,0111,0111,0111,0111,0111,0111,0111,0111,0111,0111,0111,0111,0111,0111,0111,0111
0109,0109,0109,0109,0112,0112,0112,0112,0112,0112,0112,0112,0112,0112,0112,0112,0112,0112,0112,0112,0112,0112,0112,0112
0107,0107,0107,0107,0107,0113,0113,0113,0113,0113,0113,0113,0113,0113,0113,0113,0113,0113,0113,0113,0113,0113,0113,0113
0104,0104,0104,0104,0104,0114,0114,0114,0114,0114,0114,0114,0114,0114,0114,0114,0114,0114,0114,0114,0114,0114,0114,0114
0111,0111,0111,0111,0111,0115,0115,0115,0115,0115,0115,0115,0115,0115,0115,0115,0115,0115,0115,0115,0115,0115,0115,0115
